x1,x2,x3,x4,log_x3,b43,s43
0.65428376,3240.0662,1.1744356,10.262815,0.16078767,0.41489145,5.068977
0.6427191,5030.4956,0.108124435,9.851028,-2.2244725,1.119818,2.511835
0.63780123,5305.675,0.26653948,10.004463,-1.3222328,0.020377409,2.814651
0.6353575,5171.8975,2.1137598,9.757738,0.7484682,-0.4868439,2.7818637
0.5898341,7498.853,0.0747255,9.9595585,-2.5939338,0.8690271,4.8416553
0.58566934,7101.966,1.4005892,9.793695,0.336893,-0.36451736,5.5166783
0.58879054,6931.5303,1.4807025,9.692312,0.39251664,-0.10530819,6.297633
0.60479873,6655.9673,2.9376159,9.750356,1.0775983,0.124871336,6.329719
0.6323674,5284.9907,0.47413796,10.194029,-0.74625695,-0.29064387,4.6730375
0.6219361,5256.319,0.40389746,10.081551,-0.9065942,-0.12330673,4.728609
0.5742997,8293.28,0.4404474,9.94134,-0.8199643,1.0540211,4.277668
0.60404956,5942.484,0.6939186,10.169787,-0.36540067,-0.4408352,5.1553555
0.5468298,7829.107,0.15897962,10.272753,-1.8389792,0.06444052,2.9895282
0.5735668,6380.707,18.77939,10.017978,2.93276,-0.66009814,5.1799393
0.54805595,6135.783,49.26371,10.308186,3.8971877,-0.3442638,5.4266763
0.54465425,7099.835,8.714043,10.333897,2.1649358,-0.49971727,4.3541665
0.6536328,3240.1162,0.24922146,10.314945,-1.3894134,-0.53071344,3.5471888
0.6606283,3350.5337,1.2595731,10.255245,0.23077285,-0.1706778,3.3801177
0.64836115,3724.45,3.2315059,10.305008,1.1729482,-0.8655379,4.1718965
0.6115551,4901.618,0.12780233,10.387377,-2.0572705,-0.8916509,3.866702
0.619625,5025.716,0.107646346,10.273282,-2.228904,0.8871779,3.9881063
0.6082653,4654.618,0.11804747,10.4282055,-2.1366684,0.32502726,4.403118
0.61136115,6010.782,0.83415234,10.091703,-0.18133925,-0.42869022,3.0899322
0.63073134,5605.051,0.44406196,9.897982,-0.8117912,-0.81084603,3.3751612
0.63016534,5678.638,0.98711497,9.836753,-0.01296879,-0.27555314,3.4195693
0.6115682,5737.534,4.222812,10.041909,1.4405013,0.6177513,4.066929
0.6289916,5548.6475,0.8616227,9.920544,-0.14893785,0.21954907,3.2639847
0.6184854,5978.5776,1.481015,9.854687,0.39272767,0.48910698,4.007652
0.6189817,5303.034,3.2482703,10.2029505,1.1781226,0.89069873,3.960689
0.60827744,5350.998,0.1790375,10.2967825,-1.72016,1.1023467,3.9326706
0.6080967,5246.554,0.23091409,10.272944,-1.4657096,1.2975657,4.009888
0.61165375,5911.634,0.526547,10.074397,-0.64141464,-1.268433,5.3515587
0.6127715,5981.6084,4.422152,9.970387,1.4866265,-0.748955,3.2609925
0.6063476,3464.9004,0.030067703,10.547748,-3.5043037,0.43401396,4.8310103
0.6184827,3468.2651,0.5596068,10.49091,-0.58052087,1.2050706,4.2623158
0.63200986,3453.1562,3.8978188,10.450276,1.3604171,0.5070537,4.505664
0.5817809,3634.2917,0.027889235,10.677231,-3.5795145,-0.86523575,4.2120314
0.5854993,4573.127,0.008497827,10.564354,-4.767945,-0.007839117,3.4851737
0.6302904,4837.677,12.094284,10.100677,2.492733,0.019864,4.2528076
0.61610645,5414.908,4.461697,10.098033,1.4955292,0.3833515,4.632084
0.62042105,5628.202,2.3123684,10.013507,0.8382723,-0.0740906,4.6978655
0.65606856,3978.366,0.23668963,10.169707,-1.4410056,0.7844044,3.5493848
