x1,x2,x3,x4,log_x3,b43,b21,s21,s43
0.4575728,4957.4053,0.6307532,9.137889,-0.4608406,0.861604,0.3846473,0.3750144,0.30316117
0.44891906,5979.234,0.02980976,9.329538,-3.5129194,-0.6980962,-0.020355301,1.0865468,1.3848736
0.24971412,5252.323,2.3357096,8.274053,0.8483158,1.2790235,-0.17577334,4.5163646,1.5919591
0.43828338,4336.838,0.017581051,9.670922,-4.0409336,-0.19449775,1.2309686,1.7005695,2.4482064
0.3352127,5519.8594,0.15340233,9.217848,-1.8746912,1.1324471,0.007215882,1.9352345,0.26611292
0.18674386,2914.78,4.623325,8.070905,1.5311141,-0.5300421,-0.65966016,1.2511234,0.70123893
0.56962293,4173.503,0.13615774,10.025046,-1.9939412,0.43905154,-0.64627725,1.6435977,2.005304
0.42416063,5022.2256,0.19983774,9.440643,-1.6102495,0.23594321,-0.674448,0.48127547,2.3972352
0.26184636,7523.8687,0.017755562,8.261649,-4.0310564,-0.8045473,0.05448785,3.342625,0.82534045
0.49931002,7057.919,0.00087573275,9.79226,-7.0404496,0.13107209,1.0235565,1.0561842,0.6253958
0.39988112,4404.1826,2.4054785,9.249957,0.8777488,2.3130448,0.47558242,0.31925574,0.42007828
0.36983332,4895.33,0.38521925,9.325352,-0.95394266,-0.53109676,-0.07572161,0.12629576,1.790421
0.44063538,5205.198,0.21098262,8.967021,-1.5559795,-1.9147873,-0.060672637,0.06980666,0.16188459
0.3336481,4254.173,0.07515926,8.773539,-2.588146,1.4890612,0.5480968,0.8258523,0.3493112
0.4375741,5019.8267,0.17437208,9.804893,-1.7465639,0.18334125,1.449415,2.1228418,3.20399
0.41844264,5256.7896,0.23270535,9.254877,-1.4579822,1.1426901,0.015562304,1.2991902,0.64401716
0.49111372,5177.786,0.23166183,9.986299,-1.4624766,2.0800126,-0.7885833,2.904521,0.30827838
0.42341974,5432.114,0.20206253,9.303076,-1.5991781,-0.48620877,0.72468,1.8969157,1.1799883
0.4246236,5512.4487,1.0742102,9.340433,0.071585715,1.0920895,-1.070012,1.2286177,1.2578834
0.30791637,4781.434,0.044722117,8.835318,-3.1072872,1.3799804,1.2658886,0.010993255,0.8046947
0.5377545,5851.8604,0.14095984,9.902188,-1.9592803,-0.19909349,-1.0013999,0.93707377,0.9354998
0.3744293,4161.698,5.0386267,9.101558,1.6171336,-0.0033054047,1.2832654,0.24182174,0.70241183
0.5007766,3856.2722,1.8996284,9.348707,0.6416583,-0.8459524,-0.33040002,0.07132691,2.1602721
0.47101098,5209.4624,0.91342974,9.244088,-0.09054883,0.33297828,0.039336447,0.03143967,1.0494452
0.43901333,5819.6084,0.051350947,9.799545,-2.9690719,-0.24731903,-0.733471,3.0298564,0.936959
0.60274583,4357.512,0.68951035,10.158654,-0.37177357,0.77547896,0.026525859,0.37076992,1.9546659
0.5365114,4907.7295,0.25931367,9.924689,-1.3497169,0.732067,0.96235996,0.31437635,2.0667958
0.4125199,5882.016,0.63493234,9.24542,-0.4542368,0.6353443,0.7993582,0.93464726,0.33826438
0.27159047,5223.1724,0.036062513,8.740386,-3.3225014,-0.54588324,0.48220947,2.6283915,2.5185156
0.18720499,3778.6821,0.07118362,8.435266,-2.6424925,-0.077265605,0.31544673,3.5300763,3.5395672
0.45186114,4360.695,0.031107543,9.4485655,-3.470305,0.279408,-1.4401082,0.8642516,2.4016466
0.32150435,7002.6304,0.56509936,8.875125,-0.5707537,-1.7929348,-0.5839673,0.20173278,1.5771381
0.43086505,5627.6953,0.5345482,8.929629,-0.62633336,0.59094936,-0.48540652,0.8755152,0.9994119
0.4047815,4607.535,0.21547398,9.338187,-1.5349151,0.5043085,0.158134,2.7916691,0.59688616
0.44891614,5041.208,0.19565521,9.416162,-1.6314013,0.39803082,-0.6034206,1.8207295,0.115193956
0.40783283,4461.215,3.4403105,9.3748,1.2355617,0.24756567,-0.475687,0.30994216,0.32770184
0.3154595,5753.554,0.002205122,8.334973,-6.1169724,-0.4927975,-0.78218406,1.0262882,1.6657554
0.4325021,5503.08,0.1193334,9.751833,-2.125834,1.849882,0.089405075,1.449305,0.2015686
0.44585723,6161.574,0.23178287,10.065849,-1.4619542,1.3305261,-1.6126167,0.23583746,1.9541297
0.43739134,5794.512,7.773811,8.939972,2.0507605,-0.6439633,-0.84073085,0.612043,0.5216406
0.47709092,5106.052,0.003286683,9.437161,-5.7178764,-2.3971913,-0.07052541,0.29945752,1.7372546
0.52818084,6240.697,0.17380482,10.208861,-1.7498224,-0.8325095,-1.4155799,0.6116105,0.9442472
0.34501746,3346.218,3.1480849,8.866532,1.1467943,-0.63049513,-1.392785,1.8930511,1.3239584
0.50948536,5476.934,0.46551993,9.7435665,-0.76460034,-0.4184535,1.0100335,1.3715249,3.0926204
0.39341128,4929.392,0.3889095,9.426105,-0.94440866,0.78406626,-0.5386807,0.7591908,1.094332
0.40812117,3855.8855,9.472972,9.75053,2.2484426,-0.31752223,-0.35240117,0.34382758,2.1233284
0.42615995,4824.017,10.519175,9.483871,2.3531997,1.1024464,-0.6726448,1.4186823,0.16111368
0.4282755,3364.4702,0.1101054,9.217742,-2.2063172,1.7550094,2.0683684,0.3617734,3.0353646
0.28382313,4594.479,0.103196114,8.7237015,-2.2711241,0.18250048,-1.5511304,1.2640469,1.3109916
0.530958,4915.392,0.012509331,9.60479,-4.3812804,-0.53902787,2.2496004,1.1467984,1.287802
0.4657841,7018.715,0.14110376,9.930378,-1.9582598,0.8008476,0.5630142,0.49310985,0.5361993
0.43303272,5090.3535,0.18233162,9.923596,-1.7019281,0.38041514,1.5275298,1.2789412,2.8455694
0.45154795,4804.3394,0.06661825,8.938363,-2.7087767,0.36942878,1.3235914,1.0700612,0.9889905
0.26953956,6403.09,0.009811919,8.505233,-4.6241574,-1.1654905,-0.8711953,1.2825855,0.023497662
0.4707188,4716.2524,1.3006253,9.944229,0.26284516,-0.4444595,0.45568776,0.77535105,1.6823919
0.4856549,4919.37,0.06959075,9.922498,-2.6651237,0.9099453,-2.2053182,0.9485887,0.8977272
0.43866596,3626.0532,0.1787129,9.191325,-1.7219746,-1.4061311,-0.2409877,0.5526127,0.9688089
0.37137815,5190.008,5.2044997,8.832355,1.6495236,-0.48334208,0.43782192,1.4481155,1.9306287
0.41557813,4527.845,11.29766,9.308011,2.4245956,-0.3470544,1.1839298,0.50734144,3.719083
0.27943075,5895.708,0.47513285,8.34099,-0.74416083,-0.06748762,2.5456529,0.9025971,2.6482923
0.40113348,6211.7217,2.2055435,9.824031,0.79097396,-1.5067182,-1.2661493,1.3157114,0.6894924
0.4108843,5238.6714,3.7459817,8.789376,1.3206837,0.15835549,0.99700856,0.094302244,2.12922
0.37787268,4510.679,0.01612661,9.353836,-4.1272845,-2.0216596,-0.57684237,0.29377612,1.8885564
0.4974956,5107.5625,0.12988253,9.486265,-2.0411248,1.8921936,-0.7791956,0.41831422,1.5600276
0.5361297,3550.0469,2.4853473,10.203549,0.91041243,0.0078033656,-0.32673493,0.6087274,1.6850613
0.31264147,4554.176,0.9384676,8.579586,-0.0635069,-0.7911136,-0.34207037,2.3067746,0.6417323
0.34283295,4333.385,1.294061,8.847001,0.25778535,-0.5008102,1.3238453,0.6772202,1.167887
0.43672734,4603.368,0.060863473,9.386316,-2.799122,-0.93031,-0.809006,1.1264727,1.6075981
0.46227,4508.6055,0.36475682,9.234388,-1.0085244,0.49258715,-1.1436489,1.1741986,0.9535886
