x1,x2,x3,x4,x5,y
0.726923419,1516.744766,1.837748729,4.636504282,6.33E-07,1700246.911
0.539165985,8549.825625,8.936085886,8.595843474,3.60E-07,1851276.168
0.4510278,4244.39269,4.28279671,0.630597826,5.28E-07,2745082.858
0.815066975,5648.594002,6.498714215,6.465502471,8.92E-07,13002670.58
0.853468828,4712.143665,8.017570631,5.393613345,9.70E-07,15300329.65
0.342935246,7254.23564,0.273641454,1.395220328,4.43E-07,1801232.435
0.568823976,3089.205383,5.611991283,9.399556645,2.25E-07,585011.5441
0.627587536,8984.839686,2.672173854,3.525600557,7.61E-07,7099887.075
0.678128939,3336.925549,6.130152152,2.141411837,2.78E-07,2079639.113
0.588278953,6415.443234,3.405252794,6.100780504,6.04E-07,2846167.061
0.394027795,1580.469049,8.689934603,3.130620005,8.08E-07,436084.3161
0.872381201,8064.233468,0.84826433,8.96555353,4.97E-07,15392269.48
0.761718682,2313.576292,4.954750048,7.888714722,3.66E-07,1838948
0.434371402,9901.10516,7.07311598,3.890350585,9.46E-07,2834114.17
0.486368841,5206.534122,2.356319042,6.89946718,6.86E-07,1274624.348
0.709724419,7181.731599,9.669382361,1.025540566,2.03E-07,5021076.46
0.706859898,5474.151795,3.580616484,9.796188399,8.56E-07,5438748.412
0.507002586,6877.849924,5.640375603,3.143602591,5.55E-07,2525233.809
0.422213978,2607.561152,0.986734199,5.148797643,3.26E-07,372052.6922
0.791653808,9641.168797,8.24122855,1.615646382,6.62E-07,20118313.15
0.895475841,1857.768423,7.250886414,0.233956525,7.47E-07,8623493.077
0.388155419,7752.867357,4.467379944,6.847509983,2.48E-07,708002.1245
0.619581291,3623.013986,9.805452639,4.881310438,4.27E-07,1718757.787
0.664057477,6165.600561,1.905213695,8.375426967,9.91E-07,5325793.622
0.65013532,2811.910301,9.074682105,7.300986689,4.80E-07,1477264.008
0.56349849,9296.201506,1.389321598,0.648410706,8.34E-07,11306030.34
0.374784411,4426.05952,6.673651179,7.648786179,5.85E-07,514599.8785
0.838850439,7504.074022,3.792440862,4.115645338,3.02E-07,8702973.413
0.811655526,3976.779309,0.409757027,2.729110004,1.64E-07,2657451.979
0.472208372,5952.471386,7.566663151,9.342673882,7.16E-07,1196115.819
0.52755545,1222.764198,2.84958908,2.381349888,9.08E-07,750778.2205
0.756311689,8809.757696,5.124113398,5.875476242,3.98E-07,7737422.723
0.745964396,4195.082633,8.537551188,8.180298875,7.77E-07,5308927.583
0.520403961,5590.510942,0.676427308,4.842257339,2.10E-07,1067541.557
0.470610012,1285.061947,5.941532737,6.574452096,4.59E-07,262884.1942
0.795752969,8326.947928,3.275144387,0.116973037,9.55E-07,40343349.44
0.838330877,3171.475079,2.216144417,1.810831562,8.80E-07,10273048.62
0.357807328,9075.882385,9.509755322,5.187869722,5.40E-07,1153575.488
0.554225724,4910.868187,4.773457099,3.416641497,3.48E-07,1703712.114
0.641905032,7444.15504,6.950335231,9.913114799,6.45E-07,3983547.847
0.663534558,1779.451717,4.117447005,5.680367502,1.88E-07,582866.5083
0.602600855,8254.4432,6.352969498,2.342353655,7.01E-07,6372236.036
0.378885705,3419.452888,1.719162536,9.069406099,9.31E-07,422017.4519
0.88724861,6506.775762,8.758834919,2.611955324,3.81E-07,12364151.79
0.781305299,4974.591782,5.444198627,4.31069684,5.09E-07,6503934.704
0.415061268,6958.562195,2.523987378,7.687763283,7.96E-07,1107151.287
0.505405145,2264.007284,7.881894515,0.921697617,6.16E-07,1613608.471
0.690958256,9842.730963,0.079301757,7.418198607,2.66E-07,4251296.632
0.722277386,2514.047368,6.804138019,3.642546011,9.79E-07,4048520.022
0.491316825,9556.427949,3.981592475,9.672576497,4.40E-07,1629723.29
0.438173301,5286.155304,9.246439842,1.434311461,2.36E-07,1456155.138
0.775415598,6681.048244,1.541474348,5.588779471,7.59E-07,10859968.57
0.875074394,3679.174674,2.972754222,6.348538037,6.78E-07,9790162.009
0.408837689,6212.988312,5.305942121,0.357520885,3.10E-07,3832066.774
0.599718941,2083.118815,0.569310741,8.55680943,5.71E-07,832572.7312
0.684185629,7987.022938,7.706610687,4.441357136,8.41E-07,8649404.711
0.630277644,4651.150693,1.164063221,1.14273343,4.11E-07,3829227.491
0.583630781,7737.938198,8.360046564,7.172773146,8.96E-07,3968736.786
